session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Current Country of Residence,Fluent languages,Employment Status,Nationality,First Language,Sex,Country of Birth,Student Status
5e2234170b10e807d2a781f9,5abfe64d436f550001ffad93,APPROVED,2020-01-17 22:24:27.476000,2020-01-17 22:38:05.957000,818.481,21,635,4,100,2020-01-19 15:48:50.910000,5BCAFE6C,United States,English,Part-Time,United States,English,Female,United States,Yes
5e22341b697e400815d779f6,5c9192bc88ce2600193ee9ae,APPROVED,2020-01-17 22:26:54.114000,2020-01-17 22:38:30.277000,696.163,30,212,0,100,2020-01-19 02:50:37.552000,5BCAFE6C,United States,English,Full-Time,United States,English,Male,United States,No
5e223422b510aa51b1c91cc2,5c4967e771e01d00019363e0,RETURNED,2020-01-17 22:35:00.061000,,240822.999408,32,147,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5e223423dbc670518898ccc0,5d98fd7c3e7d4c03d2a533ae,APPROVED,2020-01-17 22:24:38.783000,2020-01-17 23:30:26.308000,3947.525,25,113,1,100,2020-01-19 19:28:41.894000,5BCAFE6C,United States,English,Unemployed (and job seeking),United States,English,Male,United States,No
5e22342e28b7b65010e7e9de,5c0ee0bedf4f2e000175f4e5,RETURNED,2020-01-17 22:24:53.564000,,241429.519185,22,131,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5e223432699ac4510eed9819,5c479e4cdeaef300017e5c9c,RETURNED,2020-01-17 22:24:52.534000,,241430.549275,29,329,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5e22346242998a513509150a,5b9b1de4d2599000010fb247,APPROVED,2020-01-17 22:25:48.146000,2020-01-17 22:39:01.814000,793.668,34,289,1,100,2020-01-18 19:25:23.899000,5BCAFE6C,Canada,English,Full-Time,Canada,English,Male,Canada,No
5e223464e15d5a51107ad99d,5c3d07a85a994b0001c10bb2,APPROVED,2020-01-17 22:30:33.149000,2020-01-17 23:28:09.576000,3456.427,24,410,0,100,2020-01-18 19:25:24.796000,5BCAFE6C,United States,English,DATA EXPIRED,United States,English,Male,United States,DATA EXPIRED
5e223471de3c905165a0d6d6,5c08c9f3217d600001117a08,APPROVED,2020-01-17 22:25:53.805000,2020-01-17 22:43:55.521000,1081.716,30,183,0,100,2020-01-18 19:25:25.822000,5BCAFE6C,Canada,Spanish,Full-Time,Canada,English,Male,Canada,No
5e22349329578d08009c32d3,5d7aa4c716c9af0019b423c6,APPROVED,2020-01-17 22:26:38.090000,2020-01-17 22:46:16.213000,1178.123,27,209,1,100,2020-01-18 19:25:26.751000,5BCAFE6C,United States,"English, Hindi",Full-Time,United States,Hindi,Male,United States,No
5e2234995ea88c51f48cd959,5c2c37bc2c45d400014a2666,APPROVED,2020-01-17 22:26:35.214000,2020-01-17 23:11:34.954000,2699.74,31,302,1,100,2020-01-18 19:25:27.679000,5BCAFE6C,United States,English,Full-Time,United States,English,Female,United States,No
5e22349fff2b7f512920076b,5cf272137e2e1400157f2b3b,APPROVED,2020-01-17 22:26:48.914000,2020-01-17 22:51:45.948000,1497.034,21,107,1,100,2020-01-18 19:25:28.582000,5BCAFE6C,Canada,English,Part-Time,Canada,English,Female,Canada,Yes
5e2234a7b79a3150c8923b36,5b9b4cc406114100010660f0,REJECTED,2020-01-17 22:26:54.419000,2020-01-17 22:43:54.084000,1019.665,27,328,1,100,2020-01-19 15:46:00.738000,5BCAFE6C,United States,English,Full-Time,United States,English,Male,United States,No
5e2234b65a970050d80c4614,5c10e8870c0a040001fe7b86,REJECTED,2020-01-17 22:27:04.948000,2020-01-17 22:42:49.155000,944.207,20,260,4,98,2020-01-19 19:26:23.295000,5BCAFE6C,United States,Spanish,Part-Time,United States,English,Male,United States,Yes
5e2236ba75dd6351d0e7fce8,5c1443d21f6f150001494f6a,RETURNED,2020-01-17 22:45:38.779000,,240184.457704,29,166,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5e2236ca63251a5203231320,5b7d28b6c4e6ad0001d37b68,REJECTED,2020-01-17 22:35:54.867000,2020-01-17 23:15:33.101000,2378.234,20,229,4,98,2020-01-18 21:17:09.632000,5BCAFE6C,United States,English,Unemployed (and job seeking),United States,English,Male,United States,Yes
5e2238054548cd517aa3c2b4,5dbf7e6f5b87704112c41466,TIMED-OUT,2020-01-17 22:41:09.715000,,240453.552565,22,120,1,100,,,United States,English,Unemployed (and job seeking),United States,English,Male,United States,No
5e224a8cde3c90531ccd49f2,5c539971116c770001f11b7b,APPROVED,2020-01-18 00:00:15.509000,2020-01-18 00:19:22.325000,1146.816,35,307,0,100,2020-01-18 19:25:29.543000,5BCAFE6C,Germany,German,Full-Time,United States,English,Female,United States,No
5e23603888eb2e6228daf63c,5dacf17a6f11e500163e3bc4,APPROVED,2020-01-18 19:46:09.069000,2020-01-18 20:05:20.915000,1151.846,32,140,1,100,2020-01-18 21:16:12.759000,5BCAFE6C,United States,"English, German","Not in paid work (e.g. homemaker', 'retired or disabled)",United States,English,Female,United States,No
5e23603dac30fa61089be444,5db37bb9da032c000f9e04fa,APPROVED,2020-01-18 19:45:00.988000,2020-01-18 20:02:51.164000,1070.176,20,163,0,100,2020-01-18 21:16:14.573000,5BCAFE6C,United States,English,Part-Time,United States,English,Male,United States,Yes
5e23603d86880861d47e44df,5c5c4179ee8ba60001336bb1,APPROVED,2020-01-18 19:45:16.339000,2020-01-18 20:04:02.913000,1126.574,25,339,0,100,2020-01-18 21:16:13.666000,5BCAFE6C,United States,English,Unemployed (and job seeking),United States,English,Male,United States,No
5e2360448f3c65611dfe4164,5db06709e8d5b50019c3bd88,APPROVED,2020-01-18 19:45:08.734000,2020-01-18 19:58:57.778000,829.044,28,123,0,100,2020-01-18 21:16:15.482000,5BCAFE6C,United States,English,Full-Time,United States,English,Female,United States,No
5e236045bb31cc612326f2e3,5c78d785da78bc0001257542,APPROVED,2020-01-18 19:45:12.530000,2020-01-18 20:09:08.254000,1435.724,25,336,2,100,2020-01-18 21:16:16.424000,5BCAFE6C,United States,English,"Not in paid work (e.g. homemaker', 'retired or disabled)",United States,English,Female,United States,No
5e23604a0ffbb461711eaf98,5c894028d9fe700001024d8b,APPROVED,2020-01-18 19:45:17.876000,2020-01-18 20:07:09.396000,1311.52,23,167,0,100,2020-01-18 21:16:17.458000,5BCAFE6C,United States,"English, Spanish",Full-Time,United States,English,Male,United States,No
5e23605684352761fc661285,57d6dd8d6598aa000199188b,APPROVED,2020-01-18 19:45:29.641000,2020-01-18 19:58:10.464000,760.823,30,1231,3,100,2020-01-18 21:16:18.527000,5BCAFE6C,United States,English,Full-Time,United States,English,Female,United States,No
5e236056b028576034bb7869,5bd4869946e2010001a10827,APPROVED,2020-01-18 19:45:30.896000,2020-01-18 20:03:50.543000,1099.647,19,370,0,100,2020-01-18 21:16:19.410000,5BCAFE6C,United States,English,Part-Time,United States,English,Male,United States,Yes
5e25cebb2bf6c40396d8fdb8,5c3d3e476d874c0001bd8b46,APPROVED,2020-01-20 16:00:59.880000,2020-01-20 16:17:20.708000,980.828,34,298,0,100,2020-01-20 17:06:00.022000,5BCAFE6C,United States,Spanish,Unemployed (and job seeking),United States,Korean,Male,United States,Yes
5e25cebed3b5e503973425b2,58742bf5d53c97000159df8c,APPROVED,2020-01-20 16:01:02.856000,2020-01-20 16:15:49.571000,886.715,30,816,1,100,2020-01-20 17:06:00.314000,5BCAFE6C,United States,English,Full-Time,United States,English,Female,United States,No
